Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,PSH Flag Count,SYN Flag Count,FIN Flag Count,ACK Flag Count,Average Packet Size,Fwd Avg Bytes/Bulk,Bwd Avg Bytes/Bulk,Protocol,Label
21,4361.019833273403,7,10,1738.1920526083454,518.3403781465311,262.64691686821664,80.33618731264555,31.764265614441012,1.025443740730259,31.560905495114746,15.300467789071615,123.83320086322512,13.129948877682285,14872.417222983602,122.91844027881216,15741.475567173202,2649.2482105481245,103689.42688215207,2895.743464807403,10705.506337588826,9897.861070282615,10536.223606625867,978.7411888556962,29540.10102990046,2656.6527908988814,29293.35865347799,571.6878791002139,0,0,1,10,123.67467636175233,43.8762035577826,66.32265914868876,6,BENIGN
3389,11857.429694568054,8,13,994.572674998525,324.45088586409383,527.71213479378,76.3880180057616,53.70036848120812,9.790635244274124,225.9216706867657,40.118252297044,12.452835085494021,1.8010756854114638,9129.256438387652,57.50310741307436,7761.946420568892,6734.899484226956,53858.742589933856,300.170598890057,14431.433805078417,1799.4127279591644,26483.804251924765,2250.184438933765,287.15002081420613,491.08273594063985,19783.94212395252,354.9314644501964,2,1,1,11,41.479269194473844,19.67384552042906,113.8775793148202,17,BENIGN
22,69810.83881060721,8,4,682.3450548584171,522.9765175139436,616.9702540335346,20.372296438696768,3.535178232621869,28.668553130808565,378.0685573640302,103.80520461222937,13.2612914762652,6.17819928556451,249658.17860971202,733.0491035597249,2232.594362922022,963.9802006984576,16545.048664260725,1148.982766253077,5270.207859054356,16881.89868177166,71504.49461471364,71.2224534474144,2469.202938943,6144.826640023684,60398.854804284885,21.069459474982555,2,0,2,7,19.55912680708716,127.32149873355195,118.07408274048855,6,DDoS
3389,2632.8084487687506,15,9,210.1394982030671,357.3390390923004,17.00348749401258,26.338948609331815,10.053261340748477,27.65825965291448,167.90559393783803,7.083139677055705,41.96743588817699,4.949321677550234,66319.75283238529,512.1592950053788,2552.722438248685,430.72625712592816,34006.40171884249,1531.4065750929872,11862.975422226014,283.60900306455596,48493.72992111772,1731.4586986623033,129.03479104573924,7138.631893128134,10378.282999551744,7693.488811025057,2,1,4,10,103.55932504568838,157.6058599773589,54.095665431185466,17,DDoS
3389,33916.41430948137,12,12,29.227849164304345,315.5429278939089,120.82531871936645,149.55453913094726,11.31549362825697,3.1278946206706997,121.93504226274037,7.7608132109832155,21.390699740774735,4.328487563932943,93449.2568249083,3838.2051174716275,41123.27796961547,5579.95201962263,4973.510935167321,299.0875836666008,17546.011681540993,4742.149053877623,15041.184458576343,1514.2056806922676,10895.155512787216,6018.204247290629,23422.09616118586,127.34496983274478,3,1,2,17,20.392813924127438,172.12168187324406,217.44303192430982,6,DDoS
443,29179.407671138495,11,11,205.03858236894945,154.60746447010504,233.85074279963573,113.38368946706468,33.74347601453171,4.381163915852419,198.9129860530249,27.972773009046676,46.36578719368581,54.317112288503424,8560.103018959315,193.6464971332772,16674.851819758813,4027.762315108062,9328.44873766368,275.6218436914275,14986.03575792275,4904.879707366202,3149.2387729029397,1642.2527232224352,2943.8246082277815,10526.84238211706,17419.47435548818,252.8120214909406,4,1,3,8,9.925809041462701,63.20954776331233,73.05961283418718,6,BENIGN
22,20353.40803969688,8,6,236.38762142699466,201.3188204200734,161.3734778559036,17.824089834753497,9.920545638020982,15.807588402156657,5.098453485334344,6.698708011935494,0.8786630057579743,2.4297425918601943,86252.0030738757,44.16569425686349,3847.3209685101133,11927.696709323618,64741.92611257376,1631.3465197962748,2860.4798298912683,3516.2761429133575,16065.361456394481,1871.8021161425177,56738.51444798124,474.23762299346987,25170.888436915313,376.6867937445783,1,1,3,9,35.93443522319412,36.765304199955864,43.18412548083836,6,DDoS
22,25091.007693553885,10,3,68.15781015469265,873.5578803958604,340.93460875072947,53.06393962075443,48.86760151577598,23.056340893171768,231.17954869307124,193.52255997663127,22.677836942034208,9.500980454852376,125292.62092713255,1949.01795731652,1963.732053093281,5709.115627330426,16219.381685285754,73.49567369409004,10418.929349553815,7531.966387330051,25062.607168548144,4697.564486375857,2416.084156739846,1324.4587501587316,1084.3225902210334,1709.1861912550507,1,1,1,11,43.451129126720815,25.40924515529649,223.95204461730444,6,DDoS
22,37744.80907402323,8,6,64.28091175023974,343.1426978549195,87.43397935253746,6.8087020918246495,25.084305659039465,27.90942721913728,39.608564320468325,105.45026145072127,206.3417591684538,39.090517156349826,1108.4233725724152,45.321463902541396,3300.5855121290138,5062.947094323364,15497.236094892516,393.82929613857175,9531.315286254532,2323.9844509787254,6426.384929982325,2413.819114619688,6605.8716012429195,7118.663726660407,17497.305664448773,6508.436306106814,6,0,3,15,60.41443056444358,18.197464416580306,109.67480905092776,17,BENIGN
3389,8799.126053415916,5,5,551.4733292583638,297.31775584356444,83.55584832030394,63.6560934303364,25.44649555434223,19.380564953276973,6.998951046480449,3.3480135104164686,147.99255243428811,0.9369489596697179,9246.368912764674,40.457420866922654,17206.80040697784,5286.840287408988,5520.788938835182,741.4535915695901,11241.945036218229,2454.1311464971855,3287.8860257065407,1277.0423703908116,4042.6233237735014,694.4395957238573,22537.19616847766,55.627443065798865,0,0,0,8,168.55359322281095,224.84113001503664,24.218006799680435,17,BENIGN
